,i,j,w
352,29,20,3.66570442914963
353,29,21,0.606234133243561
354,29,22,164.878271788359
355,29,23,1.4955640733242
356,29,24,39.8916521072388
357,29,25,6.46245247125626
358,29,26,7.15236964821815
359,29,27,43.0905932188034
360,29,28,281.085667699575
361,30,0,2.95606994628906
362,30,1,2.04385854303837
363,30,2,0.6262246966362
364,30,6,13.2553614377975
365,30,7,74.9543049931526
366,30,8,164.60559874773
367,30,9,9.92699664831161
368,30,10,0.351186722517014
369,30,11,13.6508426964283
370,30,12,61.1531141996384
371,30,13,134.244860678911
372,30,14,163.473679989576
373,30,15,84.1002737283707
374,30,16,257.813795417547
375,30,17,20.6018698513508
376,30,18,7.16799888014793
377,30,20,3.22215270996094
378,30,21,3.52153363823891
379,30,22,90.7685050368309
380,30,23,55.9213010370731
381,30,24,267.981130450964
382,30,25,992.958647340536
383,30,26,146.284158200026
384,30,27,873.203191310167
385,30,28,1449.52194455266
386,30,29,96.3373991250992
387,31,0,6.65141947567463
388,31,1,8.26795771718025
389,31,2,1.57161495089531
390,31,5,0.266074687242508
391,31,6,1.10375180840492
392,31,7,27.4140730500221
393,31,8,32.3336752355099
394,31,9,2.50471350550652
395,31,12,19.3260840475559
396,31,13,51.98200532794
397,31,14,100.377864092588
398,31,15,22.2078754007816
399,31,16,107.862723827362
400,31,17,12.4146515727043
401,31,18,1.93418782949448
402,31,21,0.351062625646591
403,31,22,107.743867009878
404,31,23,26.6606210172176
405,31,24,155.705028444529
406,31,25,82.7394243776798
407,31,26,45.4864292144775
408,31,27,127.544169172645
409,31,28,849.374175399542
410,31,29,1259.63562887907
411,31,30,1069.86623731256
412,32,0,14.6327830404043
413,32,1,11.4459445923567
414,32,2,3.01482540369034
415,32,6,3.60303254425526
416,32,7,13.3828412145376
417,32,8,33.2418475449085
418,32,9,2.33528059720993
419,32,11,3.94892126321793
420,32,12,16.300019711256
421,32,13,51.5796391367912
422,32,14,74.90084451437
423,32,15,15.1282724142075
424,32,16,51.7702249884605
425,32,17,24.1178257465363
426,32,18,5.67855384945869
427,32,20,2.41597199440002
428,32,22,40.5411020219326
429,32,23,3.36182194948196
430,32,24,89.4190713763237
431,32,25,32.8937425613403
432,32,26,21.1866304576397
433,32,27,41.8668068945408
434,32,28,69.8087999522686
435,32,29,1495.75683575869
436,32,30,364.149721622467
437,32,31,1403.58924669027
438,33,0,1.18000566959381
439,33,1,3.38429024815559
440,33,2,0.580363988876343
441,33,6,0.722589552402496
442,33,7,2.73030984401703
443,33,8,2.87476509809494
444,33,9,0.215376034379005
445,33,10,21.992788374424
446,33,11,37.1934148669243
447,33,12,110.948166191578
448,33,13,50.6483713984489
449,33,14,6.39212357997894
450,33,15,15.6487818956375
451,33,16,7.44473648071289
452,33,17,9.2592825293541
453,33,18,99.0186039209366
454,33,19,33.0697172880173
455,33,20,91.5190470814705
456,33,21,198.503824681044
457,33,22,1718.6150521338
458,33,23,1.13636314868927
459,33,24,1.86169546842575
460,33,25,5.03678330779076
461,33,26,0.426982820034027
462,33,27,6.02646803855896
463,33,28,99.0487124025822
464,33,29,1636.71483913064
465,33,30,32.8947772532701
466,33,31,160.538732051849
467,33,32,156.772775888443
468,34,0,1.40673518180847
469,34,1,0.271568864583969
470,34,2,1.13990849256516
471,34,4,0.966223418712616
472,34,5,0.271027982234955
473,34,6,0.556799829006195
474,34,7,12.3059047460556
475,34,8,8.55516356229782
476,34,9,2.00415191054344
477,34,10,20.7104489505291
478,34,11,46.8770805895329
479,34,12,265.260821968317
480,34,13,218.406411141157
481,34,14,8.20736622810364
482,34,15,21.3353754580021
483,34,16,27.133856087923
484,34,17,151.165865167975
485,34,18,1492.37679579854
486,34,19,27.2791546583176
487,34,20,64.9765733778477
488,34,21,488.216328114271
489,34,22,904.52636513114
490,34,23,1.07168674468994
491,34,24,134.321857452393
492,34,25,7.1391082406044
493,34,26,30.055178552866
494,34,27,282.016296893358
495,34,28,267.541849419475
496,34,29,486.570650532842
497,34,30,58.3144134134054
498,34,31,104.41982331872
499,34,32,63.7023433148861
